Date,Open,Close,High,Low,Volume €
05/02/19,11178.75,11367.98,11371.74,11177.7,3921178112
04/02/19,11180.42,11176.58,11209.31,11100.34,3578704896
01/02/19,11198.46,11180.66,11218.51,11116.08,4541572096
31/01/19,11257.92,11173.1,11311.37,11051.11,4573062144
30/01/19,11210.68,11181.66,11215.21,11132.38,3637186816
29/01/19,11191.52,11218.83,11276.28,11159.17,3202676224
28/01/19,11233.16,11210.31,11275.21,11196.42,2946523904
25/01/19,11234.05,11281.79,11321.62,11218.35,4183266816
24/01/19,11045.64,11130.18,11149.32,11032.53,4022147840
23/01/19,11043.64,11071.54,11135.75,11007.21,3297393152
22/01/19,11076.98,11090.11,11142.22,11034.55,3039793664
21/01/19,11176.12,11136.2,11179.91,11125.53,2629720832
18/01/19,11001.31,11205.54,11216.82,10993.83,5102009344
17/01/19,10852.5,10918.62,10929.3,10822.25,2943843328
16/01/19,10940.36,10931.24,10947.87,10866.39,2817174272
15/01/19,10962.95,10891.79,10994.83,10812.59,3081178880
14/01/19,10820.85,10855.91,10886.23,10786.75,2668447488
11/01/19,10949.13,10887.46,10959,10829.92,3107425792
10/01/19,10843.89,10921.59,10927.13,10788.05,2866341120
09/01/19,10884.75,10893.32,10961.92,10839.09,3743830272
08/01/19,10750.19,10803.98,10910.71,10745.03,3825119488
07/01/19,10814.39,10747.81,10814.47,10681.27,2810341888
04/01/19,10533.94,10767.69,10786.34,10483.9,3923362816
03/01/19,10467.11,10416.66,10538.66,10400.11,3157513984
02/01/19,10477.77,10580.19,10612.72,10386.97,2973446144
28/12/18,10452.02,10558.96,10586.8,10431.38,2036179456
27/12/18,10607.42,10381.51,10635.45,10279.2,3792997376
21/12/18,10573.08,10633.82,10654.66,10512.64,9476073472
20/12/18,10621.18,10611.1,10686.37,10563.44,4355436032
19/12/18,10777.42,10766.21,10831.44,10749.55,3957748736
18/12/18,10744.28,10740.89,10841.42,10714.97,3794915584
17/12/18,10852.99,10772.2,10886.8,10700.62,3418881024
14/12/18,10809.58,10865.77,10903.39,10733.75,3443502336
13/12/18,10978.68,10924.7,10988.77,10887.26,3318145792
12/12/18,10832.04,10929.43,10971.12,10815.51,3871640320
11/12/18,10711.4,10780.51,10884.62,10684.62,4192821760
10/12/18,10726.17,10622.07,10757.73,10585.77,4658125312
07/12/18,10876.34,10788.09,10927.37,10788.09,4347385344
06/12/18,11053.58,10810.98,11063.44,10762.41,5539258880
05/12/18,11204.32,11200.24,11266.28,11177.15,3167188480
04/12/18,11429.82,11335.32,11442.19,11330.44,3562060544
03/12/18,11534.75,11465.46,11566.97,11457.61,4596474880
30/11/18,11311.66,11257.24,11315.3,11208.6,4767285248
29/11/18,11377.21,11298.23,11403.72,11275.7,3661718784
28/11/18,11355.8,11298.88,11358.8,11279.46,3277165568
27/11/18,11380.79,11309.11,11400.05,11264.65,3370348032
26/11/18,11315.9,11354.72,11390.93,11301.82,3557904896
23/11/18,11146.55,11192.69,11205.99,11093.52,2516529408
22/11/18,11216.29,11138.49,11221.77,11119.04,2573186560
21/11/18,11138.25,11244.17,11257.83,11113.34,3809336320
20/11/18,11157.65,11066.41,11187.16,11009.25,4871788544
19/11/18,11384,11244.54,11419.55,11231.59,3560659456
16/11/18,11425.8,11341,11448.56,11233.21,4663578112
15/11/18,11447.84,11353.67,11500.66,11254.92,4110970112
14/11/18,11394.75,11412.53,11566.79,11314.6,4371214336
13/11/18,11374.11,11472.22,11495.69,11349.94,4361342464
12/11/18,11591.59,11325.44,11598.51,11310.72,3918296320
09/11/18,11489.19,11529.16,11549.06,11418.35,4475530752
08/11/18,11629,11527.32,11648.79,11503.36,3708277248
07/11/18,11542.09,11579.1,11634.81,11532.34,3907735296
06/11/18,11518.17,11484.34,11528.52,11436.53,3247864064
05/11/18,11522.33,11494.96,11555.97,11479.19,3019745024
02/11/18,11636.37,11518.99,11689.96,11518.87,5264192000
01/11/18,11419.61,11468.54,11575.43,11416.36,4132578304
31/10/18,11417.09,11447.51,11499.38,11391.64,7265255424
30/10/18,11391.78,11287.39,11394.37,11212.58,4500806656
29/10/18,11270.67,11335.48,11444.86,11218.92,4438170624
26/10/18,11180.96,11200.62,11205.83,11051.04,9355778048
25/10/18,11098.68,11307.12,11324.92,11078.37,5208996352
24/10/18,11298.65,11191.63,11391.94,11166.84,4604400128
23/10/18,11367.57,11274.28,11394.21,11228.5,5263068160
22/10/18,11665.68,11524.34,11677.45,11497.09,3585140736
19/10/18,11578.85,11553.83,11617.28,11498.69,5604662784
18/10/18,11695.19,11589.21,11791.22,11586.32,4691686912
17/10/18,11811.47,11715.03,11847.79,11669.96,4362407936
16/10/18,11637.62,11776.55,11790.15,11606.97,3921014784
15/10/18,11523.81,11614.16,11625.02,11459.08,3150951936
12/10/18,11691.47,11523.81,11693.84,11514.55,4482967552
11/10/18,11558.98,11539.35,11700.5,11518.56,6581379072
10/10/18,11976.7,11712.5,11978.8,11712.27,5218449920
09/10/18,11963.63,11977.22,11998.64,11803.19,3697384960
08/10/18,12044.96,11947.16,12072.27,11938.8,3526487296
05/10/18,12236.29,12111.9,12245.41,12103.55,3884281856
04/10/18,12275.07,12244.14,12348.86,12174.69,4631112192
02/10/18,12229.07,12287.58,12310.76,12203.6,3693050112
01/10/18,12265.89,12339.03,12373.29,12263.1,3443142656
28/09/18,12381.36,12246.73,12394.16,12190.57,4803574784
27/09/18,12329.4,12435.59,12456.69,12272.65,3792992000
26/09/18,12395.2,12385.89,12395.92,12329.52,3802428160
25/09/18,12341.85,12374.66,12416.87,12322.19,4095140096
24/09/18,12383.42,12350.82,12409.96,12349.3,3207834112
21/09/18,12402.72,12430.88,12458.3,12373.95,12182606848
20/09/18,12210.95,12326.48,12354.38,12210.57,4458430976
19/09/18,12168.2,12219.02,12241.14,12165.08,3348153088
18/09/18,12097.19,12157.67,12184.41,12064.41,3427904256
17/09/18,12056.38,12096.41,12123.09,12040.8,2792944896
14/09/18,12109.37,12124.33,12134.54,12075.58,3026494464
